,Viscocity,Temp,FeedRate
0,2256,80,8
1,2340,93,9
2,2426,100,10
3,2293,82,12
4,2330,90,11
5,2368,99,8
6,2250,81,8
7,2409,96,10
8,2364,94,12
9,2379,93,11
10,2440,97,13
11,2364,95,11
12,2404,100,8
13,2317,85,12
14,2309,86,9
15,2328,87,12
